ethnicity,us,int,all
White,5925,1280,7205
Hispanic / Latino / Spanish Origin,704,294,998
Asian,749,202,951
Black / African American,317,32,349
Prefer not to answer,246,71,317
Native American / Alaska Native,97,18,115
Native Hawaiian / Other Pacific Islander,96,18,114
Middle Eastern,11,4,15
Mixed,8,4,12
European,,11,11
Indian,8,1,9
Jewish,5,2,7
South Asian,3,1,4
Italian,3,1,4
Brazilian,3,1,4
Arab,1,3,4
Turkish,1,2,3
mixed,3,,3
Human,3,,3
Filipino,3,,3
Multiracial,2,,2
Multi-Ethnic,2,,2
Mixed White/Asian,1,1,2
Mixed race,,2,2
Mix,2,,2
middle eastern,1,1,2
Middle eastern,2,,2
Mexican American,2,,2
human,1,1,2
European American,2,,2
Eastern European,2,,2
Caucasian,,2,2
Caribbean,2,,2
Bi-racial,2,,2
Asian / White,2,,2
Armenian,2,,2
Arabic,1,1,2
African,,2,2
Why?,,1,1
White/Black,,1,1
white/asian,1,,1
White/African-American,1,,1
"White, Middle East",1,,1
White-Asian,,1,1
White Welsh,,1,1
White middle eastern,1,,1
white looking latin,,1,1
White European,,1,1
White & Middle Eastern,1,,1
white & hispanic,1,,1
White & Filipino,1,,1
White / Middle Eastern,,1,1
White / Hispanic,1,,1
White / Asian,,1,1
Vietnamese,1,,1
Turks,,1,1
turkish,,1,1
this question makes no sense guys...,,1,1
Terran,,1,1
Syrian,1,,1
Suthern Europe *we don't have the same priviledge than other 'wasp',,1,1
Super mix,,1,1
Sundanese,,1,1
Spanish (not latin),,1,1
Spaniard,1,,1
South Asian Indian,1,,1
South American,,1,1
Slavic-Eastern/European,1,,1
Siberian,,1,1
Scandinavian,,1,1
Russian,,1,1
"Portuguese, Filipino, Puerto Rican, Navajo, Spanish, Chinese, Russian, Norwegian and German",1,,1
Portuguese,1,,1
Pink,1,,1
Persian-American,1,,1
pardo brasileiro,,1,1
Other/Atlantic Islander,1,,1
other,1,,1
Other,1,,1
Norwegian-American,1,,1
North African (Non-black),,1,1
North African,,1,1
North,,1,1
No idea,1,,1
Nigerian,1,,1
New Zealander,,1,1
My DNA  says I'm a mixture of equal parts of 2 primary ethnicities and 10% or less of 3+ others,1,,1
mutt,1,,1
multi-racial,1,,1
Multi-ethnic,1,,1
multi racial,1,,1
Multi Racial,1,,1
Multi,1,,1
Mom is Latina dad is Caucasian.,1,,1
Mixed-Race,1,,1
